username,repo_name,stars,repo_url
mrdoob,three.js,82400,https://github.com/topics/mrdoob/three.js
libgdx,libgdx,20100,https://github.com/topics/libgdx/libgdx
pmndrs,react-three-fiber,18200,https://github.com/topics/pmndrs/react-three-fiber
BabylonJS,Babylon.js,17500,https://github.com/topics/BabylonJS/Babylon.js
aframevr,aframe,14200,https://github.com/topics/aframevr/aframe
ssloy,tinyrenderer,13800,https://github.com/topics/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13000,https://github.com/topics/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11400,https://github.com/topics/FreeCAD/FreeCAD
metafizzy,zdog,9200,https://github.com/topics/metafizzy/zdog
CesiumGS,cesium,8700,https://github.com/topics/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8000,https://github.com/topics/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7100,https://github.com/topics/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6800,https://github.com/topics/isl-org/Open3D
blender,blender,5700,https://github.com/topics/blender/blender
domlysz,BlenderGIS,5300,https://github.com/topics/domlysz/BlenderGIS
spritejs,spritejs,4900,https://github.com/topics/spritejs/spritejs
openscad,openscad,4800,https://github.com/topics/openscad/openscad
jagenjo,webglstudio.js,4600,https://github.com/topics/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4600,https://github.com/topics/tensorspace-team/tensorspace
YadiraF,PRNet,4600,https://github.com/topics/YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com/topics/AaronJackson/vrn
google,model-viewer,4400,https://github.com/topics/google/model-viewer
ssloy,tinyraytracer,4200,https://github.com/topics/ssloy/tinyraytracer
mosra,magnum,4000,https://github.com/topics/mosra/magnum
FyroxEngine,Fyrox,4000,https://github.com/topics/FyroxEngine/Fyrox
gfxfundamentals,webgl-fundamentals,3600,https://github.com/topics/gfxfundamentals/webgl-fundamentals
tengbao,vanta,3600,https://github.com/topics/tengbao/vanta
cleardusk,3DDFA,3300,https://github.com/topics/cleardusk/3DDFA
jasonlong,isometric-contributions,3200,https://github.com/topics/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,3000,https://github.com/topics/cnr-isti-vclab/meshlab
ljianshu,Blog,7100,https://github.com/topics/ljianshu/Blog
developit,unfetch,5300,https://github.com/topics/developit/unfetch
jquery-form,form,5100,https://github.com/topics/jquery-form/form
olifolkerd,tabulator,4600,https://github.com/topics/olifolkerd/tabulator
ded,reqwest,2900,https://github.com/topics/ded/reqwest
elbywan,wretch,2400,https://github.com/topics/elbywan/wretch
yisainan,web-interview,2000,https://github.com/topics/yisainan/web-interview
ptaoussanis,sente,1600,https://github.com/topics/ptaoussanis/sente
nette,tracy,1500,https://github.com/topics/nette/tracy
k8w,tsrpc,1100,https://github.com/topics/k8w/tsrpc
swlib,saber,957,https://github.com/topics/swlib/saber
opensource-socialnetwork,opensource-socialnetwork,863,https://github.com/topics/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,859,https://github.com/topics/webcreate/infinite-ajax-scroll
karosLi,KKJSBridge,580,https://github.com/topics/karosLi/KKJSBridge
cferdinandi,atomic,540,https://github.com/topics/cferdinandi/atomic
GoogTech,sms-ssm,508,https://github.com/topics/GoogTech/sms-ssm
englercj,resource-loader,397,https://github.com/topics/englercj/resource-loader
jsGanttImproved,jsgantt-improved,381,https://github.com/topics/jsGanttImproved/jsgantt-improved
klis87,redux-requests,362,https://github.com/topics/klis87/redux-requests
dashborg,hibiki,418,https://github.com/topics/dashborg/hibiki
loadingio,loading-bar,355,https://github.com/topics/loadingio/loading-bar
yceruto,django-ajax,315,https://github.com/topics/yceruto/django-ajax
trco,django-bootstrap-modal-forms,318,https://github.com/topics/trco/django-bootstrap-modal-forms
tulios,mappersmith,307,https://github.com/topics/tulios/mappersmith
anzhihe,Free-Web-Books,300,https://github.com/topics/anzhihe/Free-Web-Books
davgothic,AjaxFileUpload,297,https://github.com/topics/davgothic/AjaxFileUpload
donavon,thwack,272,https://github.com/topics/donavon/thwack
GerryIsWarrior,ajax,265,https://github.com/topics/GerryIsWarrior/ajax
maliangnansheng,bbs-ssm,273,https://github.com/topics/maliangnansheng/bbs-ssm
kishan0725,AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,265,https://github.com/topics/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis
jwasham,coding-interview-university,221000,https://github.com/topics/jwasham/coding-interview-university
CyC2018,CS-Notes,152000,https://github.com/topics/CyC2018/CS-Notes
trekhleb,javascript-algorithms,143000,https://github.com/topics/trekhleb/javascript-algorithms
TheAlgorithms,Python,137000,https://github.com/topics/TheAlgorithms/Python
yangshun,tech-interview-handbook,71300,https://github.com/topics/yangshun/tech-interview-handbook
kdn251,interviews,57300,https://github.com/topics/kdn251/interviews
azl397985856,leetcode,48200,https://github.com/topics/azl397985856/leetcode
TheAlgorithms,Java,46200,https://github.com/topics/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,37000,https://github.com/topics/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,27200,https://github.com/topics/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26700,https://github.com/topics/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,25500,https://github.com/topics/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,25400,https://github.com/topics/halfrost/LeetCode-Go
huihut,interview,24400,https://github.com/topics/huihut/interview
keon,algorithms,20900,https://github.com/topics/keon/algorithms
TheAlgorithms,JavaScript,20100,https://github.com/topics/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,19500,https://github.com/topics/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19300,https://github.com/topics/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,18600,https://github.com/topics/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15400,https://github.com/topics/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13500,https://github.com/topics/greyireland/algorithm-pattern
OpenGenus,cosmos,13000,https://github.com/topics/OpenGenus/cosmos
williamfiset,Algorithms,12700,https://github.com/topics/williamfiset/Algorithms
halfrost,Halfrost-Field,11100,https://github.com/topics/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://github.com/topics/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9700,https://github.com/topics/lnishan/awesome-competitive-programming
jeffgerickson,algorithms,7500,https://github.com/topics/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,7300,https://github.com/topics/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,7300,https://github.com/topics/mgechev/javascript-algorithms
gyoogle,tech-interview-for-developer,7200,https://github.com/topics/gyoogle/tech-interview-for-developer
